Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
-0.679181,0.263113,-0.205722,-2.1335,-0.68755,2.02936,0.757014,-0.470863,0.00194116,-0.562889,0.815477,-0.134737
-1.76097,-2.26532,-0.641737,2.87032,-0.222151,2.29974,0.230057,0.61769,0.412284,0.0265586,-0.638411,0.769237
2.15363,-0.56879,1.81431,0.540368,-2.54301,2.8139,-0.306314,0.266345,-0.0334104,-0.710368,0.108291,0.69545
1.79303,0.310012,-1.62214,-1.15946,-0.975391,0.922953,-0.230743,0.525927,0.412893,0.538006,-0.11411,-0.835182
1.82478,0.079001,-0.0387606,-0.283049,-2.51983,2.56438,-0.316299,0.784042,-0.0520351,-0.273344,-0.889601,0.365913
1.34556,-1.56001,2.97313,2.62906,0.167166,0.551538,-0.0750476,0.161185,0.185541,-0.113344,0.139856,-0.983663
0.502106,-0.593581,1.82329,1.90971,-1.24328,3.07487,0.371121,0.32828,0.0518717,-0.735908,0.673722,-0.0673656
-2.27752,0.0579151,2.88059,-1.60907,-1.74558,-0.653253,0.116649,-0.0314761,-0.0371797,-0.232938,0.931501,-0.279365
-1.60216,0.309619,2.81309,-1.16956,1.50372,0.686213,0.111455,0.0717441,-0.0124281,0.752489,-0.631114,-0.188294
2.75361,-1.85772,2.94455,1.48578,2.82565,-2.17086,-0.0516981,-0.0967852,0.22932,0.0594171,0.165262,0.984458
-0.93469,-0.571196,-0.952753,-2.82299,2.77205,-2.85445,0.258598,-0.166429,0.744575,-0.245922,-0.250105,0.936467
-1.96788,-0.604138,2.01683,-3.11381,2.65636,-0.912531,-0.0947852,-0.508266,-0.0444762,-0.0130045,-0.768815,0.639339
-0.0049748,-1.56052,-1.04552,-0.953866,3.09411,2.5198,-0.370865,0.110996,0.800796,0.978329,-0.0434514,-0.202448
-0.80265,-1.63837,1.08143,-0.142847,-0.66227,0.143738,0.332266,-0.186838,0.648124,-0.916607,0.072908,-0.393085
2.86125,-0.632632,-0.315291,-1.07984,-3.00986,1.79176,-0.661088,0.0767577,0.700798,0.741304,-0.243396,-0.625481
-3.07281,-1.80004,1.53251,-1.91288,-0.383685,-3.03783,-0.350967,-0.133588,0.660925,0.467685,-0.340989,0.815474
-1.7374,0.30973,-2.67427,1.13542,2.77461,0.183172,0.0721026,-0.229421,0.202943,0.325379,-0.192526,0.925776
2.78047,-2.13105,2.44829,-0.321405,-2.86946,-0.347316,-0.176295,-0.0500915,0.232175,-0.759292,0.556934,-0.3366
1.2343,0.0578965,0.0256565,0.349322,0.28018,0.579107,0.153019,0.768014,-0.0540886,-0.383737,-0.396064,0.834194
1.11691,0.30986,-2.53602,3.01246,0.265255,2.29756,-0.0548161,0.136578,0.203684,0.587085,0.806123,0.0741414
1.28575,-1.40245,2.68403,-0.269611,-2.77261,-0.614342,-0.0758303,0.129373,0.0820092,0.259027,-0.164105,-0.951827
3.05748,-0.708441,-2.17373,0.0151137,-0.121914,-0.438768,0.0214511,-0.111346,0.557412,-0.967363,0.192041,0.165316
1.29505,0.0582581,-1.61294,2.06283,2.21751,-2.77944,-0.000328854,0.399736,0.373921,0.537148,-0.842747,-0.0353606
1.54426,0.309654,-1.94754,2.82144,-2.60034,0.997658,-0.101393,0.293644,0.315274,0.304588,0.94575,-0.113064
-1.66,-1.01229,-1.57455,0.505316,0.395886,-2.35426,0.111,0.0158148,0.702456,-0.297774,-0.274327,0.914372
-1.12228,-0.51707,1.62244,0.743539,-1.51109,2.82449,0.295427,-0.362188,-0.0252895,0.977907,0.155124,-0.140126
-1.40804,0.310349,-0.598694,2.34807,2.19502,-1.7313,0.220679,-0.670292,0.115366,-0.262067,0.795669,0.546106
-1.3885,0.309673,-1.69711,0.789359,-0.764905,0.849288,0.203349,-0.501036,0.267095,-0.597839,0.720112,0.352174
-1.94851,0.310019,2.78727,1.507,2.7516,2.44721,0.0620055,-0.139685,-0.0476595,-0.06522,0.627801,-0.775637
2.2571,-1.1616,0.877107,1.48504,-2.49303,1.39683,-0.374247,0.28463,0.554917,-0.532575,0.815152,0.227797
0.0918591,-1.12495,-2.38766,-1.76229,-1.49496,2.50948,-0.271265,0.0846237,0.279918,0.456372,0.849907,0.263406
1.53758,0.162509,-0.0152915,2.30139,-0.85474,0.156223,-0.0842858,0.750154,0.0356772,0.764669,0.573177,0.294534
3.06185,-1.38854,2.82869,-2.92345,-1.3274,-1.92487,-0.230406,-0.0910868,0.109941,-0.965494,-0.260422,0.00127025
