Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
1.32673,-1.73062,2.79232,0.442588,-1.22893,2.47006,-0.0988835,0.0546125,0.159945,-0.561473,0.797568,-0.220528
2.84056,-0.618917,-0.524414,-0.4936,-2.84087,-3.11302,-0.608459,0.0746198,0.698934,-0.17528,-0.255615,-0.950757
2.52101,0.309788,-2.04862,0.419747,2.81221,-1.90167,-0.413972,0.161738,0.322747,-0.621769,0.573605,-0.533274
2.11425,-1.50845,0.36609,1.99655,-1.46069,1.76819,-0.154479,0.0446193,0.807961,-0.556502,0.544186,0.627827
0.951392,0.309732,-2.53369,2.26404,1.22081,0.896407,0.00553278,0.195771,0.176556,-0.583626,0.191825,0.78904
1.15485,-1.59956,-2.86925,-0.886263,1.14839,1.82467,-0.17362,-0.122921,0.0765843,0.547557,0.672655,0.497712
-1.98601,-0.659096,2.12239,1.57887,1.88193,1.98942,-0.0488398,-0.381376,0.0536267,-0.440637,-0.0401941,-0.896785
-2.67478,-1.33167,-0.449036,2.17402,-2.38046,-2.98145,0.0646123,-0.0896652,0.798283,0.95059,-0.283435,0.126661
-1.52543,0.10745,0.112746,2.97066,0.467558,-2.10843,0.145768,-0.804206,0.0524401,-0.24936,0.403399,0.880391
-1.71134,-0.643296,1.67229,-0.184723,-2.87989,-1.75188,0.0420141,-0.482218,-0.054857,0.165321,0.835908,-0.52338
0.644028,-2.02983,2.81948,-1.45018,-1.23287,-1.12557,0.051172,0.174913,0.116882,0.596597,-0.060143,-0.800284
2.2322,0.130828,-0.137988,0.23151,-1.02073,1.27658,-0.572938,0.558384,-0.0557536,0.155088,0.203233,0.96677
0.391024,-1.05845,2.00216,1.10546,-0.715601,-0.179281,0.286129,0.236019,0.185538,0.415735,-0.526873,0.741329
0.914406,-1.496,2.41071,2.28926,2.84267,1.75618,0.0825378,0.286003,0.296623,0.112898,0.0576079,-0.991935
-0.612798,-1.70956,1.68422,1.52196,1.58209,1.51104,0.25825,-0.048145,0.512995,0.848726,-0.523728,0.0732997
0.413467,-0.606257,1.71333,0.483203,1.5612,0.157918,0.349977,0.27275,-0.01766,-0.252616,0.967545,0.00640754
1.86851,-1.84985,-0.0721386,-3.14159,2.23856,0.422252,-0.00435842,-0.3579,0.833466,-0.854608,0.343546,-0.389387
-0.336472,-0.618485,2.24846,-3.14159,-0.019399,-2.92158,0.43018,-0.0348309,-0.0615872,0.266372,-0.0731148,0.961093
0.550064,-1.12437,-2.12752,0.0686445,-2.44259,-1.89292,-0.236351,-0.016892,0.523897,0.0662515,0.279578,0.957834
-1.04192,-0.565245,1.77149,-3.0987,-2.29223,0.0660362,0.391194,-0.453057,-0.0197511,-0.783571,-0.144106,0.604359
-0.637366,-0.212142,2.97982,-2.64117,0.456475,1.5884,0.0957996,0.0648795,-0.0585213,0.109364,-0.0906358,0.989861
